id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,E,E,E,E,E,E,E,E,E,E
3,E,E,E,E,E,E,E,E,E,E
4,E,E,E,E,E,E,E,E,E,E
5,E,E,E,E,E,E,E,E,E,E
6,J,J,J,J,J,J,J,J,J,J
7,E,E,E,E,E,E,E,E,E,E
8,E,E,E,E,E,E,E,E,E,E
9,I,I,I,O,O,O,O,O,O,O
10,E,E,E,E,E,E,E,E,E,E
11,E,E,E,E,E,E,E,E,E,E
12,E,E,O,O,O,O,O,O,O,O
13,E,E,E,E,E,E,E,E,E,E
14,E,E,E,E,E,E,E,E,E,E
15,E,E,E,E,E,E,E,E,E,E
16,E,E,E,E,E,E,E,E,E,E
17,E,E,E,E,E,E,E,E,E,E
18,E,E,E,E,E,E,E,E,E,E
19,E,E,E,E,E,E,E,E,E,E
20,E,E,E,E,E,E,E,E,E,E
21,E,E,E,E,E,E,E,E,E,E
22,C,C,C,C,C,C,C,C,C,C
23,C,C,C,C,C,C,C,C,C,C
24,C,C,C,C,C,C,C,C,C,C
25,C,C,C,C,C,C,C,C,C,C
26,C,C,C,C,C,C,C,C,C,C
27,C,C,C,C,C,C,C,C,C,C
28,C,C,C,C,C,C,C,C,C,C
29,C,C,C,C,C,C,C,C,C,C
30,C,C,C,C,C,C,C,C,C,C
31,C,C,C,C,C,C,C,C,C,C
32,C,C,C,C,C,C,C,C,C,C
33,C,C,C,C,C,C,C,C,C,C
34,C,C,C,C,C,C,C,C,C,C
35,E,E,E,E,E,E,E,E,E,E
36,C,C,C,C,C,C,C,C,C,C
37,C,C,C,C,C,C,C,C,C,C
38,E,E,E,E,E,E,E,E,E,E
39,E,E,E,E,E,E,E,E,E,E
40,E,E,E,E,E,E,E,E,E,E
41,E,E,E,E,E,E,E,E,E,E
42,E,E,E,E,E,E,E,E,E,E
43,E,E,E,E,E,E,E,E,E,E
44,E,E,E,E,E,E,E,E,E,E
45,E,E,E,E,E,E,E,E,E,E
46,E,E,E,E,E,E,E,E,E,E
47,E,E,E,E,E,E,E,E,E,E
48,E,E,E,E,E,E,E,E,E,E
49,E,E,E,E,E,E,E,E,E,E
50,C,C,C,C,C,C,C,C,C,C
51,C,C,C,C,C,C,C,C,C,C
52,C,C,C,C,C,C,C,C,C,C
53,E,E,E,E,E,E,E,E,E,E
